lag_s,n_pairs,msd_player,msd_centroid,msd_relative,cross_term,f_centroid,f_relative,f_cross,f_sum,f_centroid_ci_low,f_centroid_ci_high,f_relative_ci_low,f_relative_ci_high,f_cross_ci_low,f_cross_ci_high,n_bootstrap,bootstrap_unit
18.0,1000844,406.7603994450154,293.4616983687883,114.19500654305752,-0.8963054668303583,0.7214608373115671,0.28074268463416147,-0.0022035219457284413,1.0,0.6902544086407549,0.7498836879184038,0.2520007454988548,0.3115985191836452,-0.003944302122664829,-0.0008619120780438665,200,match_id+match_phase+team+source_key
19.0,1000296,428.47746571990706,310.23123185322646,119.1500779961259,-0.9038441294453102,0.724031615833031,0.2780778162882748,-0.002109432121305878,1.0,0.692695307591888,0.7526297471667172,0.2492191489040459,0.3090403055279498,-0.003872602956390858,-0.0007004122517782095,200,match_id+match_phase+team+source_key
20.0,999748,449.57804387266975,326.57062381084455,123.91555643023615,-0.9081363684109212,0.7263936223347607,0.27562635257457485,-0.0020199749093354857,1.0000000000000002,0.6949572053151142,0.7551603973113401,0.24666225016238572,0.30669130356229674,-0.0037824900143610713,-0.0005724040193055216,200,match_id+match_phase+team+source_key
21.0,999201,470.06740640997623,342.4719751892308,128.50400737765088,-0.9085761569054538,0.72855928855986,0.2733735749922942,-0.0019328635521541047,1.0000000000000002,0.6970450158399946,0.7574869614059937,0.24431178680070037,0.30454537077047705,-0.0037150815570204236,-0.00042619906591214466,200,match_id+match_phase+team+source_key
22.0,998654,489.9488537776168,357.93121319783137,132.9227827196159,-0.9051421398305313,0.7305481183150048,0.27129930337575253,-0.001847421690757474,0.9999999999999998,0.6989679831625446,0.759629389573638,0.2421489508363117,0.3025822557196098,-0.003654732190295416,-0.00027746015911633506,200,match_id+match_phase+team+source_key
23.0,998107,509.2268859462482,372.9462910581879,137.17923383537286,-0.8986389473125773,0.7323774556113176,0.26938725668513286,-0.0017647122964505723,0.9999999999999999,0.700731242160647,0.7616104601400554,0.24015036359560515,0.3006983898494762,-0.0035914571390963214,-0.0001293085802469582,200,match_id+match_phase+team+source_key
24.0,997560,527.9096067362412,387.5166288178155,141.28245836086737,-0.8894804424416884,0.7340586795031179,0.26762623100256655,-0.001684910505684543,0.9999999999999998,0.7023417569799063,0.76344548132662,0.23829789894156006,0.2989494290546027,-0.003510818556992373,1.994069373200943e-05,200,match_id+match_phase+team+source_key
25.0,997013,546.0052605466549,401.64186176401097,145.23981381263212,-0.8764150299882726,0.7356007181357397,0.2660044221317932,-0.001605140267532981,1.0,0.7037972323245564,0.7651495299661369,0.2365825678561072,0.2973444511034766,-0.0034692873616291,0.00014598606685141166,200,match_id+match_phase+team+source_key
26.0,996466,563.5172119433159,415.32282565204315,149.05712894452046,-0.8627426532477097,0.7370188822090857,0.2645121138899908,-0.0015309960990765492,1.0,0.7051199080384914,0.7667307179343633,0.2350088227347733,0.29588339653925555,-0.003456662449136575,0.00024922371564108694,200,match_id+match_phase+team+source_key
27.0,995919,580.4524982296637,428.5605086958831,152.73743291633934,-0.8454433825587592,0.7383214130406197,0.26313511162787134,-0.001456524668491044,1.0,0.7063210521558448,0.7681934204126247,0.23355026932014883,0.2945429977680566,-0.0033964149400784074,0.0003526412500669763,200,match_id+match_phase+team+source_key
28.0,995372,596.8188708831515,441.35831718254553,156.28324440467014,-0.8226907040641174,0.7395180325471933,0.2618604270562151,-0.0013784596034081978,1.0,0.7074058665271125,0.7695522455674958,0.2321923579562542,0.29331150155603913,-0.003344239837004436,0.00045566884209553783,200,match_id+match_phase+team+source_key
29.0,994825,612.627204956461,453.7252409975689,159.69739834714053,-0.7954343882484881,0.7406220901172922,0.2606763086182079,-0.0012983987355001956,0.9999999999999998,0.7083938666308929,0.7708191965675028,0.23092072228798555,0.2921766239518572,-0.003286780833833746,0.000592280650049106,200,match_id+match_phase+team+source_key
30.0,994279,627.8963055847026,465.6744438053962,162.98731553538045,-0.7654537560739904,0.7416422738333458,0.2595768028665262,-0.0012190766998719526,1.0,0.7093006575489911,0.7720004667772433,0.22973248566170762,0.2911271258849975,-0.003229607478057634,0.0006877927778536446,200,match_id+match_phase+team+source_key
31.0,993733,642.6480669587394,477.224366746931,166.15830786962022,-0.7346076578118894,0.7425905270443625,0.25855256774667656,-0.001143094791039112,0.9999999999999998,0.7101387211955499,0.7731106575339977,0.2286246065943824,0.29015092328583775,-0.0031597054907085546,0.0007732825338274677,200,match_id+match_phase+team+source_key
32.0,993188,656.9080020962826,488.39541674004533,169.2142141757939,-0.7016288195566719,0.7434761263091776,0.2575919514388748,-0.0010680777480525112,1.0,0.7109148866156477,0.7741626780177084,0.22762357829367394,0.2893268723302702,-0.0030615127242923207,0.000885639909106671,200,match_id+match_phase+team+source_key
33.0,992644,670.7034451234213,499.2155393267151,172.15854533466606,-0.6706395379599203,0.7443163486879818,0.2566835560282322,-0.0009999047162140501,1.0,0.7116499978718009,0.7751714898011774,0.2267533028797378,0.2886142821547726,-0.0030061078709305907,0.001023754518570061,200,match_id+match_phase+team+source_key
34.0,992100,684.0602124428169,509.71266024968486,174.98808831484118,-0.6405361217091503,0.7451283541685207,0.2558080197208796,-0.0009363738894004087,1.0,0.7123608318242819,0.776151868698843,0.2259295738059986,0.28792760681700386,-0.0029766625489556766,0.001158279940383525,200,match_id+match_phase+team+source_key
35.0,991556,697.0047384119576,519.9044760294087,177.7119399447721,-0.61167756222316,0.7459123982628141,0.25496518194362294,-0.0008775802064370389,1.0,0.7130378755429456,0.7771102608325767,0.22515154457687941,0.28727648173167425,-0.0029771429856143214,0.001263992607953702,200,match_id+match_phase+team+source_key
36.0,991012,709.5557824970795,529.8020639205657,180.33668727186944,-0.5829686953557475,0.7466672487060542,0.25415434800238795,-0.0008215967084422245,1.0,0.7136790811080124,0.778044136978042,0.2244161704144273,0.2866577517367798,-0.002963718829751671,0.0013377484057098986,200,match_id+match_phase+team+source_key
37.0,990468,721.7245680757447,539.4140421743379,182.86528953173516,-0.5547636303281911,0.7473959818390532,0.2533726820735629,-0.0007686639126159952,1.0,0.7142885607261663,0.7787202983172122,0.22371975736202096,0.2860690594778798,-0.0029315946547923783,0.0014053936881559864,200,match_id+match_phase+team+source_key
38.0,989925,733.5210327674603,548.7475964669887,185.29900102855154,-0.5255647280800397,0.7481006978036469,0.25261579798120765,-0.0007164957848545475,1.0,0.7148712910263363,0.7793787469517846,0.22305005991772775,0.28550040569790497,-0.0029015707028020124,0.0014713563016175732,200,match_id+match_phase+team+source_key
39.0,989382,744.9510313430861,557.8075608673856,187.64064082797927,-0.4971703522788621,0.7487841984213431,0.2518831882005431,-0.0006673866218864136,0.9999999999999999,0.7154361496024172,0.7800259367962059,0.2224020774406448,0.28485242944309513,-0.002881553959336557,0.001534447681823338,200,match_id+match_phase+team+source_key
40.0,988839,756.0147751328683,566.5944275055755,189.89146872957147,-0.47112110227861426,0.7494488813475867,0.2511742825346216,-0.000623163882208275,1.0,0.71598900493355,0.780667959860145,0.2217754804490223,0.2841910665774185,-0.0028874606315181174,0.0015929191133426906,200,match_id+match_phase+team+source_key
41.0,988296,766.7136526467187,575.1046515956831,192.05540393843305,-0.44640288739744766,0.7500905319872738,0.25049169696594287,-0.0005822289532166949,1.0,0.7165253138117913,0.7812996220451314,0.2211724699189343,0.2835541167640289,-0.0028928459955142667,0.0016464690610428474,200,match_id+match_phase+team+source_key
42.0,987754,777.0475466918299,583.3350367859091,194.1340577376246,-0.42154783170372795,0.7507070053426917,0.24983549406226546,-0.0005424994049571462,1.0000000000000002,0.7170438907249399,0.7819190604317701,0.22059186458441152,0.2829373050732298,-0.002891264049681052,0.0016998494236547784,200,match_id+match_phase+team+source_key
43.0,987212,787.0160448877585,591.2853845458902,196.12704601136406,-0.3963856694957242,0.7513002922706833,0.24920336413133104,-0.0005036564020143392,1.0,0.7175461048325623,0.7825210249234253,0.22003195624921215,0.28233625605930757,-0.0028909013435157397,0.0017536006754456219,200,match_id+match_phase+team+source_key
44.0,986670,796.6216296188267,598.9546680995745,198.03779977664345,-0.3708382573912104,0.751868447742458,0.2485970659262692,-0.00046551366872708665,1.0,0.7180365670864858,0.7831020182135173,0.21949511380599918,0.2817488231235008,-0.002890462259847488,0.001808256145558389,200,match_id+match_phase+team+source_key
45.0,986128,805.8679269089375,606.3468869991477,199.87061231410954,-0.34957240431973036,0.752414715553836,0.24801906818745345,-0.000433783741289448,1.0,0.7185245244429087,0.7836619493377085,0.21893817443681451,0.2811777442961028,-0.002891302539133382,0.0018542433632124482,200,match_id+match_phase+team+source_key
46.0,985586,814.7567142050104,613.4550587653207,201.62792138304778,-0.3262659433581217,0.75293035095009,0.24747009489794008,-0.00040044584803019634,1.0,0.7189971258084911,0.7841889495265445,0.21835008727187563,0.2806283249820592,-0.002899879838827956,0.00190563539556543,200,match_id+match_phase+team+source_key
47.0,985044,823.2932640012506,620.2786911724788,203.31319593758158,-0.2986231088098518,0.753411594986081,0.2469511227985375,-0.000362717784618481,1.0,0.719453905708271,0.7846752927799139,0.21779466002401016,0.28010368859800844,-0.0029092119113068994,0.001963429432858677,200,match_id+match_phase+team+source_key
48.0,984502,831.4810009856942,626.8196470846347,204.92917655258813,-0.26782265152862017,0.7538592539595733,0.24646284919276704,-0.0003221031523403721,1.0,0.7198290043749828,0.7851203521445878,0.2172688619321274,0.2796067697310692,-0.002912217559679346,0.002025091669319801,200,match_id+match_phase+team+source_key
