cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-03__2H__rosenborg__A,18.0,11070505.503293542,8126500.137988563,3003934.166426267,-59928.801121288765,30504
2020-07-03__2H__rosenborg__A,19.0,11674026.701025426,8611179.95153124,3128811.5784111987,-65964.82891701141,30487
2020-07-03__2H__rosenborg__A,20.0,12270031.789518094,9093071.128128197,3249196.995455262,-72236.33406536278,30470
2020-07-03__2H__rosenborg__A,21.0,12857783.016430218,9570593.753583228,3365810.5288269627,-78621.2659799754,30453
2020-07-03__2H__rosenborg__A,22.0,13436304.754790597,10042318.955426076,3479214.5400441154,-85228.74067959617,30436
2020-07-03__2H__rosenborg__A,23.0,14004891.066107994,10507190.57738508,3589582.4592396542,-91881.9705167406,30419
2020-07-03__2H__rosenborg__A,24.0,14562639.699026987,10964272.465422437,3696954.009057565,-98586.77545301284,30402
2020-07-03__2H__rosenborg__A,25.0,15108153.853164548,11412492.597930523,3800980.4443866494,-105319.18915262981,30385
2020-07-03__2H__rosenborg__A,26.0,15640034.514869384,11850992.600720176,3900961.1560841664,-111919.24193495564,30368
2020-07-03__2H__rosenborg__A,27.0,16158074.599597879,12279596.876961084,3996718.63626232,-118240.91362551937,30351
2020-07-03__2H__rosenborg__A,28.0,16663376.159702288,12698730.520323284,4088776.044063649,-124130.40468464477,30334
2020-07-03__2H__rosenborg__A,29.0,17157511.688300636,13109307.318323204,4178138.301164497,-129933.93118706829,30317
2020-07-03__2H__rosenborg__A,30.0,17641694.882704634,13512381.045881826,4265222.82956048,-135908.99273766798,30300
2020-07-03__2H__rosenborg__A,31.0,18117153.24470089,13909050.762943048,4350160.180602154,-142057.69884430832,30283
2020-07-03__2H__rosenborg__A,32.0,18585541.350945972,14300812.961981477,4433098.36205501,-148369.97309052135,30266
2020-07-03__2H__rosenborg__A,33.0,19048190.373557158,14688523.234170452,4514186.114314011,-154518.97492730874,30249
2020-07-03__2H__rosenborg__A,34.0,19505702.142954133,15072871.478381567,4593368.7952223895,-160538.13064982498,30232
2020-07-03__2H__rosenborg__A,35.0,19957421.18113005,15453278.232546179,4670533.064125266,-166390.1155413952,30215
2020-07-03__2H__rosenborg__A,36.0,20401759.24477639,15828219.290943334,4745613.599148137,-172073.64531507983,30198
2020-07-03__2H__rosenborg__A,37.0,20837453.240528945,16196129.988813546,4818847.9614693085,-177524.70975391142,30181
2020-07-03__2H__rosenborg__A,38.0,21264460.788302466,16556292.803318674,4890299.930980715,-182131.9459969208,30164
2020-07-03__2H__rosenborg__A,39.0,21681400.55070265,16907837.82857106,4960141.757974015,-186579.03584242746,30147
2020-07-03__2H__rosenborg__A,40.0,22086678.815000333,17249156.32581363,5028295.217352317,-190772.728165605,30130
2020-07-03__2H__rosenborg__A,41.0,22479474.840763096,17579521.390979502,5094715.013753507,-194761.56396991631,30113
