lag_s,msd_centroid,msd_centroid_ci_low,msd_centroid_ci_high,alpha_local_centroid,msd_player_abs,msd_player_abs_ci_low,msd_player_abs_ci_high,alpha_local_player_abs,msd_player_rel,msd_player_rel_ci_low,msd_player_rel_ci_high,alpha_local_player_rel,fit_window_flag,early_window_flag,n_bootstrap,bootstrap_unit
40.000163264740614,,,,,755.9961740964046,726.0571331284426,789.6549073587577,0.5769829751422151,,,,,False,False,200,match_id+match_phase+team+source_key
40.02478652220738,,,,,,,,,190.44331687267137,172.86170685433058,211.8032979543789,0.4699721035121627,False,False,200,match_id+match_phase+team+source_key
41.0,588.1313983725499,551.2069258778724,627.6287519204916,0.5937626880582911,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
41.00016476023812,,,,,766.7214839166448,736.5043480269236,800.583410856753,0.5636641336498371,,,,,False,False,200,match_id+match_phase+team+source_key
41.02563721956675,,,,,,,,,192.63890900106358,174.7626944174061,214.36659493456187,0.457968921061763,False,False,200,match_id+match_phase+team+source_key
42.0,596.5096942549694,558.7160275694341,637.204981165456,0.5798861022453821,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
42.00016592098591,,,,,777.0817475756476,746.7636779758728,811.1147651235198,0.5500111552047713,,,,,False,False,200,match_id+match_phase+team+source_key
42.026448440193285,,,,,,,,,194.7488596687588,176.57787609229635,216.84352718796617,0.4456307096538552,False,False,200,match_id+match_phase+team+source_key
43.0,604.6061164685794,565.9763079975802,646.4978999811051,0.5655581861154246,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
43.00016708504323,,,,,787.077967605668,756.74717197534,821.2506997584367,0.5361384794946389,,,,,False,False,200,match_id+match_phase+team+source_key
43.02727179201776,,,,,,,,,196.7734562820309,178.33082369021832,219.2327698866686,0.4332322480740345,False,False,200,match_id+match_phase+team+source_key
44.0,612.4168453057412,573.0991812626563,655.4860614844317,0.5509257569147792,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
44.00016825244783,,,,,796.7127584032272,766.4530992958407,830.994987997038,0.5221105730952047,,,,,False,False,200,match_id+match_phase+team+source_key
44.02810757487265,,,,,,,,,198.71574249695155,180.02420526417953,221.53372703439314,0.4211427805041268,False,False,200,match_id+match_phase+team+source_key
45.0,619.9452496389339,580.354144694174,664.1603004870813,0.5358213555812199,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
45.00016942323821,,,,,805.9896637899126,775.804599021578,840.3501492199795,0.5079551762403298,,,,,False,False,200,match_id+match_phase+team+source_key
45.02895609875929,,,,,,,,,200.57922202645858,181.6593573835786,223.74491188223925,0.4094490649692091,False,False,200,match_id+match_phase+team+source_key
46.0,627.1834304207184,587.345755701145,672.5004506736,0.5201203456725239,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
46.00017059745366,,,,,814.912444650267,784.476746096338,849.3091345493112,0.49366527908276225,,,,,False,False,200,match_id+match_phase+team+source_key
46.02981768428532,,,,,,,,,202.3675556023173,183.23316661422996,225.86772051187143,0.3981522212494042,False,False,200,match_id+match_phase+team+source_key
47.0,634.1313796724118,594.0808704554471,680.4964033157631,0.5041386471588112,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
47.00017177513428,,,,,823.4845133504298,792.8303183821876,857.8722261069477,0.47918441461507655,,,,,False,False,200,match_id+match_phase+team+source_key
