length_l,centroid_ccdf,centroid_ci_low,centroid_ci_high,player_ccdf,player_ci_low,player_ci_high,null_ccdf,n_centroid_at_risk,n_player_at_risk,reliable_support_flag,n_bootstrap,bootstrap_unit
0.009823742191809379,0.9986127295932523,0.9980322839173471,0.9990506461812584,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9984848043222675,17996,309120,True,200,match_id+match_phase+team+source_key
0.01043459006822576,0.9983907663281727,0.9978036269980004,0.9988573432325019,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9983906641369669,17992,309120,True,200,match_id+match_phase+team+source_key
0.011083420937358859,0.9983352755119028,0.997706117875551,0.9988271579871649,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9982906799630606,17991,309120,True,200,match_id+match_phase+team+source_key
0.01177259661103028,0.9980578214305532,0.9974065387558693,0.9986572704751232,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9981844896622057,17986,309120,True,200,match_id+match_phase+team+source_key
0.012504625760344714,0.9978913489817435,0.9972007821037364,0.9985451369063622,0.9981497805891641,0.9974741006010097,0.998570567217227,0.998071708737492,17983,309120,True,200,match_id+match_phase+team+source_key
0.013282173047513626,0.9975584040841241,0.9967281988113902,0.9983433457225019,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9979519289635751,17977,309120,True,200,match_id+match_phase+team+source_key
0.014108068825502718,0.9973364408190445,0.9964501210805419,0.9982284153036043,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9978247169342384,17973,309120,True,200,match_id+match_phase+team+source_key
0.01498531944081097,0.9973364408190445,0.9964501210805419,0.9982284153036043,0.9981497805891641,0.9974741006010097,0.998570567217227,0.997689612522581,17973,309120,True,200,match_id+match_phase+team+source_key
0.01591711817688454,0.9972254591865046,0.9963242606380315,0.9981155308298257,0.9981497805891641,0.9974741006010097,0.998570567217227,0.9975461272487766,17971,309120,True,200,match_id+match_phase+team+source_key
0.016906856878000403,0.997003495921425,0.9960814160181559,0.9978281930897404,0.9975427277981743,0.9967943646675189,0.9980523601324108,0.9973937425500744,17967,308932,True,200,match_id+match_phase+team+source_key
0.01795813829593225,0.9969480051051551,0.9960314847429586,0.9977294138865411,0.9968872399440737,0.9959620664079578,0.9975539751774022,0.9972319079474453,17966,308729,True,200,match_id+match_phase+team+source_key
0.019074789204341476,0.9965595693912658,0.9955024106519768,0.9975222870427064,0.9952178447688518,0.9938497678547477,0.996069484681532,0.9970600391029784,17959,308212,True,200,match_id+match_phase+team+source_key
0.02026087432863117,0.9962266244936463,0.9952043566773331,0.9971499438076263,0.9941974794393157,0.9923496983478095,0.9953398896762597,0.9968775157618431,17953,307896,True,200,match_id+match_phase+team+source_key
0.021520711141969205,0.9958381887797569,0.99463180610331,0.9967128539960106,0.9922729929317098,0.9900151249705671,0.9937285208301379,0.9966836795723208,17946,307300,True,200,match_id+match_phase+team+source_key
0.022858885581339455,0.9950613173519782,0.9938188356444625,0.9961479797986753,0.9922729929317098,0.9900151249705671,0.9937285208301379,0.9964778317770903,17932,307300,True,200,match_id+match_phase+team+source_key
0.024280268740829152,0.9943954275567394,0.992883307335822,0.9957408701125832,0.9919081154562744,0.9897008662439859,0.9934237651160516,0.9962592307686295,17920,307187,True,200,match_id+match_phase+team+source_key
