track_type,k,tau_s,weighted_msd,n_pairs,n_entities,msd_m2
player_abs,13,13.000114325813188,290446433.97723234,1005964,485,288.7244811715254
player_abs,14,14.00011909337271,315266649.8407417,1005425,485,313.5655566956677
player_abs,15,15.000123880337316,339438387.8442132,1004886,485,337.7879558917262
player_abs,16,16.00012868686135,362951922.67561924,1004347,485,361.38099947091916
player_abs,17,17.000132374583487,385806447.9782544,1003808,485,384.3428703280452
player_abs,18,18.000136077139604,408009853.536757,1003269,485,406.6804152592744
player_abs,19,19.000139794656953,429562564.0727426,1002730,485,428.3930510433941
player_abs,20,20.000143527264708,450474053.5644995,1002191,485,449.4892226776129
player_abs,21,21.000146126427946,470751915.7865115,1001652,485,469.97551623369344
player_abs,22,22.00014873581516,490399829.85145247,1001113,485,489.8546216575476
player_abs,23,23.000151355527212,509424027.13433695,1000574,485,509.131785489466
player_abs,24,24.000153985666806,527835224.98663795,1000035,485,527.816751400339
player_abs,25,25.000156626338516,545640948.2407342,999496,485,545.916089950069
player_abs,26,26.000159277648866,562840036.7734909,998957,485,563.4276918560968
player_abs,27,27.000161939706377,579443189.9333942,998418,485,580.3613215440769
player_abs,28,28.000164612621607,595458168.3126012,997879,485,596.7238195338325
player_abs,29,29.000167296507225,610897003.9064105,997340,485,612.5263239280591
player_abs,30,30.00016295442801,625779507.9259243,996801,485,627.7878011016485
player_abs,31,31.000158854356638,640130047.5405316,996262,484,642.5318315267788
player_abs,32,32.00015433000619,653974750.8831671,995724,484,656.7831556567554
player_abs,33,33.00014969107936,667343726.6034855,995187,484,670.5711857203576
player_abs,34,34.00015220993517,680275354.7420377,994651,484,683.9337161899376
player_abs,35,35.00015473745016,692787050.7281688,994115,484,696.888238008851
player_abs,36,36.000157273690974,704897467.7606186,993579,484,709.4528646042424
player_abs,37,37.00015981872521,716618492.7705936,993043,484,721.6389348402774
player_abs,38,38.000160964226176,727959650.6258987,992507,484,733.4554321792176
player_abs,39,39.00016211288637,738926845.8424163,991971,484,744.9077098447599
player_abs,40,40.000163264740614,749521066.865269,991435,484,755.9961740964046
player_abs,41,41.00016476023812,759743551.6915195,990899,483,766.7214839166448
player_abs,42,42.00016592098591,769593787.8560086,990364,483,777.0817475756476
player_abs,43,43.00016708504323,779072597.5971508,989829,483,787.077967605668
player_abs,44,44.00016825244783,788183151.6117623,989294,483,796.7127584032272
player_abs,45,45.00016942323821,796929533.9792502,988759,483,805.9896637899126
player_abs,46,46.00017059745366,805316035.7020655,988224,483,814.912444650267
player_abs,47,47.00017177513428,813346595.5065726,987689,483,823.4845133504298
player_abs,48,48.00017295632096,821023652.1275544,987154,483,831.707770142809
player_abs,49,49.000174141055496,828356425.2277403,986619,483,839.5909922956483
player_abs,50,50.00017532938048,835352767.8922008,986084,483,847.1415902622908
player_abs,51,51.00017652133947,842019356.5679266,985549,483,854.3657966959803
player_abs,52,52.00017771697689,848361019.723817,985014,483,861.2679816975362
player_abs,53,53.00017891633815,854386749.3745282,984479,483,867.8567540542034
player_abs,54,54.00018011946958,860111439.3823297,983944,483,874.1467394306279
player_abs,55,55.00018132641858,865554738.6820844,983409,483,880.1574306133912
