track_type,k,tau_s,msd_m2,ci_low,ci_high,n_bootstrap,bootstrap_unit
player_abs,17,17.000132374583487,384.3428703280452,372.6063866499857,399.83270653500284,200,match_id+match_phase+team+source_key
player_abs,18,18.000136077139604,406.6804152592744,393.767807207081,423.47917465553473,200,match_id+match_phase+team+source_key
player_abs,19,19.000139794656953,428.3930510433941,414.2830841219583,446.48877566719574,200,match_id+match_phase+team+source_key
player_abs,20,20.000143527264708,449.4892226776129,434.1650136018591,468.86415273455077,200,match_id+match_phase+team+source_key
player_abs,21,21.000146126427946,469.97551623369344,453.42806158002327,490.6127445445558,200,match_id+match_phase+team+source_key
player_abs,22,22.00014873581516,489.8546216575476,472.08722123850566,511.74179972802204,200,match_id+match_phase+team+source_key
player_abs,23,23.000151355527212,509.131785489466,490.16508103916095,532.2576045914572,200,match_id+match_phase+team+source_key
player_abs,24,24.000153985666806,527.816751400339,507.6979449212684,552.168576388665,200,match_id+match_phase+team+source_key
player_abs,25,25.000156626338516,545.916089950069,524.705340096637,571.4777204589767,200,match_id+match_phase+team+source_key
player_abs,26,26.000159277648866,563.4276918560968,541.2011362180587,590.177541510533,200,match_id+match_phase+team+source_key
player_abs,27,27.000161939706377,580.3613215440769,557.1948126163342,608.2778775571928,200,match_id+match_phase+team+source_key
player_abs,28,28.000164612621607,596.7238195338325,572.6906866947568,625.7841234004661,200,match_id+match_phase+team+source_key
player_abs,29,29.000167296507225,612.5263239280591,587.6968080231103,642.3884427829965,200,match_id+match_phase+team+source_key
player_abs,30,30.00016295442801,627.7878011016485,602.2275211130338,658.184220171933,200,match_id+match_phase+team+source_key
player_abs,31,31.000158854356638,642.5318315267788,616.2979083780689,673.38597812547,200,match_id+match_phase+team+source_key
player_abs,32,32.00015433000619,656.7831556567554,629.925797803152,688.0402251860977,200,match_id+match_phase+team+source_key
player_abs,33,33.00014969107936,670.5711857203576,643.1834543017643,702.1955989948115,200,match_id+match_phase+team+source_key
player_abs,34,34.00015220993517,683.9337161899376,656.1235893397243,715.9038612058196,200,match_id+match_phase+team+source_key
player_abs,35,35.00015473745016,696.888238008851,668.5666137490522,729.1868022822722,200,match_id+match_phase+team+source_key
player_abs,36,36.000157273690974,709.4528646042424,681.0023004598977,742.061393773004,200,match_id+match_phase+team+source_key
player_abs,37,37.00015981872521,721.6389348402774,693.0821879418378,754.5388383363663,200,match_id+match_phase+team+source_key
player_abs,38,38.000160964226176,733.4554321792176,704.4614772230494,766.629905177282,200,match_id+match_phase+team+source_key
player_abs,39,39.00016211288637,744.9077098447599,715.4128805714706,778.3360857736598,200,match_id+match_phase+team+source_key
player_abs,40,40.000163264740614,755.9961740964046,726.0571331284426,789.6549073587577,200,match_id+match_phase+team+source_key
player_abs,41,41.00016476023812,766.7214839166448,736.5043480269236,800.583410856753,200,match_id+match_phase+team+source_key
player_abs,42,42.00016592098591,777.0817475756476,746.7636779758728,811.1147651235198,200,match_id+match_phase+team+source_key
player_abs,43,43.00016708504323,787.077967605668,756.74717197534,821.2506997584367,200,match_id+match_phase+team+source_key
player_abs,44,44.00016825244783,796.7127584032272,766.4530992958407,830.994987997038,200,match_id+match_phase+team+source_key
player_abs,45,45.00016942323821,805.9896637899126,775.804599021578,840.3501492199795,200,match_id+match_phase+team+source_key
player_abs,46,46.00017059745366,814.912444650267,784.476746096338,849.3091345493112,200,match_id+match_phase+team+source_key
player_abs,47,47.00017177513428,823.4845133504298,792.8303183821876,857.8722261069477,200,match_id+match_phase+team+source_key
