duration_s,empirical_ccdf,model,model_source_name,model_label,plot_label,model_ccdf,n_parameters,n,param_p,param_mean_duration_on_support,param_mu,param_sigma,param_shape,param_scale,param_alpha,param_tc,param_beta,support,sample_size,pooled_or_heldout_status,uncertainty_definition,contrast_direction
46,0.0010765035165781,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),5.2341737232891657e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
47,0.0008181426725993,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),4.204471613702848e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
48,0.0007176690110521,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),3.3773394780111355e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
49,0.0006171953495048,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),2.71292637880054e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
50,0.0005454284483995,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),2.179221125003988e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
51,0.0004736615472943,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.75050998389544e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
52,0.0004162480264102,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.4061378024279227e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
53,0.0003157743648629,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.1295128491737467e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
54,0.0002583608439787,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),9.073074304991469e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
55,0.0001722405626525,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),7.2881576693983634e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
56,0.0001578871824314,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),5.854381924855198e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
57,0.0001578871824314,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),4.702668256750345e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
58,0.0001291804219893,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),3.777527502801984e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
59,0.0001148270417683,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),3.0343867045995064e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
60,0.0001004736615472,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),2.437441598034848e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
61,7.176690110521028e-05,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.9579315763627475e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
62,7.176690110521028e-05,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.572754014212695e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
63,4.306014066312616e-05,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.2633511911674016e-06,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
1,1.0,interval_lognormal,lognormal,interval log-normal,log-normal,1.0,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
2,0.5813836658533085,interval_lognormal,lognormal,interval log-normal,log-normal,0.6260399693642865,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
3,0.4688244581598966,interval_lognormal,lognormal,interval log-normal,log-normal,0.4546868005252481,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
4,0.3910147839816277,interval_lognormal,lognormal,interval log-normal,log-normal,0.3539616664456975,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
5,0.3335582029567963,interval_lognormal,lognormal,interval log-normal,log-normal,0.2872920045673547,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
