age_start_s,age_mid_s,n_at_risk,n_terminated,termination_probability,n_clusters,ci_low,ci_high,variant,quantity,duration_s,ccdf
23.0,23.5,3404.0,229.0,0.0672737955346651,47.0,0.0582673647552087,0.0760950140080799,low_speed_guard_0p25,hazard,,
24.0,24.5,3173.0,212.0,0.0668137409391742,47.0,0.0589214476661444,0.074965167318461,low_speed_guard_0p25,hazard,,
25.0,25.5,2956.0,205.0,0.0693504736129905,47.0,0.0602695433836783,0.0783445987471411,low_speed_guard_0p25,hazard,,
26.0,26.5,2749.0,191.0,0.0694798108403055,47.0,0.0621933741017381,0.0764628456107406,low_speed_guard_0p25,hazard,,
27.0,27.5,2557.0,171.0,0.0668752444270629,47.0,0.0572241499225781,0.0781990738618128,low_speed_guard_0p25,hazard,,
28.0,28.5,2385.0,154.0,0.0645702306079664,47.0,0.0555466717853304,0.072806054406617,low_speed_guard_0p25,hazard,,
29.0,29.5,2231.0,146.0,0.0654415060510981,47.0,0.0562681490428207,0.0756169057803124,low_speed_guard_0p25,hazard,,
30.0,30.5,2084.0,128.0,0.0614203454894433,47.0,0.051294304287262,0.0700143622715729,low_speed_guard_0p25,hazard,,
31.0,31.5,1956.0,128.0,0.065439672801636,47.0,0.052952632086898,0.0789956445539572,low_speed_guard_0p25,hazard,,
32.0,32.5,1828.0,128.0,0.0700218818380744,47.0,0.0595025115223556,0.0810431694475878,low_speed_guard_0p25,hazard,,
33.0,33.5,1699.0,131.0,0.0771041789287816,47.0,0.067016457551152,0.0879459250426992,low_speed_guard_0p25,hazard,,
34.0,34.5,1566.0,110.0,0.070242656449553,47.0,0.0588955511421134,0.0820269535418205,low_speed_guard_0p25,hazard,,
0.0,0.5,31067.0,10718.0,0.3449962983229793,47.0,0.340206932666618,0.3507212166813839,low_speed_guard_0p50,hazard,,
1.0,1.5,20336.0,1910.0,0.0939221085759244,47.0,0.0902830812512626,0.0981134748624173,low_speed_guard_0p50,hazard,,
2.0,2.5,18418.0,1683.0,0.0913779997828211,47.0,0.0869917425004033,0.0955524066805491,low_speed_guard_0p50,hazard,,
3.0,3.5,16725.0,1405.0,0.0840059790732436,47.0,0.0801262957980058,0.0877978021633265,low_speed_guard_0p50,hazard,,
4.0,4.5,15316.0,1257.0,0.0820710368242361,47.0,0.0772751117839838,0.0874944442587889,low_speed_guard_0p50,hazard,,
5.0,5.5,14057.0,1157.0,0.0823077470299494,47.0,0.0764158262124425,0.0874550639412088,low_speed_guard_0p50,hazard,,
6.0,6.5,12897.0,1040.0,0.0806389082732418,47.0,0.0769260352335003,0.0855512339581321,low_speed_guard_0p50,hazard,,
7.0,7.5,11852.0,930.0,0.0784677691528855,47.0,0.0727587091241334,0.0835665076742451,low_speed_guard_0p50,hazard,,
8.0,8.5,10917.0,768.0,0.0703489969771915,47.0,0.0660720505802976,0.0750752962475312,low_speed_guard_0p50,hazard,,
9.0,9.5,10146.0,645.0,0.0635718509757539,47.0,0.0594175623536907,0.0673690987417124,low_speed_guard_0p50,hazard,,
10.0,10.5,9499.0,597.0,0.0628487209179913,47.0,0.0573069453168301,0.0689804478158314,low_speed_guard_0p50,hazard,,
11.0,11.5,8897.0,579.0,0.0650781162189502,47.0,0.060378410266035,0.0701390658584823,low_speed_guard_0p50,hazard,,
12.0,12.5,8317.0,487.0,0.0585547673439942,47.0,0.0542356616481156,0.0631918213249577,low_speed_guard_0p50,hazard,,
13.0,13.5,7826.0,402.0,0.051367237413749,47.0,0.0460359438199459,0.0560317516282886,low_speed_guard_0p50,hazard,,
14.0,14.5,7422.0,428.0,0.0576663971975208,47.0,0.0519585892890162,0.0635891453905227,low_speed_guard_0p50,hazard,,
15.0,15.5,6992.0,365.0,0.0522025171624713,47.0,0.0470834763495144,0.0576115874548847,low_speed_guard_0p50,hazard,,
16.0,16.5,6623.0,333.0,0.0502793296089385,47.0,0.0452761232242097,0.0546580722047959,low_speed_guard_0p50,hazard,,
17.0,17.5,6286.0,350.0,0.0556792873051225,47.0,0.0499697653592652,0.0611210403419586,low_speed_guard_0p50,hazard,,
18.0,18.5,5934.0,277.0,0.046680148297944,47.0,0.0423491579855657,0.0514594363736271,low_speed_guard_0p50,hazard,,
19.0,19.5,5656.0,301.0,0.0532178217821782,47.0,0.0485278021887577,0.0584631843637462,low_speed_guard_0p50,hazard,,
20.0,20.5,5352.0,248.0,0.046337817638266,47.0,0.0394294427101964,0.0527061617539192,low_speed_guard_0p50,hazard,,
21.0,21.5,5104.0,254.0,0.0497648902821316,47.0,0.0439738163510672,0.0562627027783798,low_speed_guard_0p50,hazard,,
22.0,22.5,4848.0,210.0,0.0433168316831683,47.0,0.038506486552642,0.0483446949423422,low_speed_guard_0p50,hazard,,
23.0,23.5,4636.0,189.0,0.0407679033649698,47.0,0.0343671152228763,0.0477293688667359,low_speed_guard_0p50,hazard,,
24.0,24.5,4444.0,183.0,0.0411791179117911,47.0,0.0362610347498206,0.0463259134107965,low_speed_guard_0p50,hazard,,
25.0,25.5,4256.0,232.0,0.0545112781954887,47.0,0.0483744908599545,0.0611749271868294,low_speed_guard_0p50,hazard,,
26.0,26.5,4021.0,153.0,0.0380502362596369,47.0,0.0338783713236984,0.0423366061866236,low_speed_guard_0p50,hazard,,
27.0,27.5,3867.0,183.0,0.0473235065942591,47.0,0.0409032369173905,0.0535223988439306,low_speed_guard_0p50,hazard,,
28.0,28.5,3683.0,165.0,0.044800434428455,47.0,0.0385256077456349,0.050282705810278,low_speed_guard_0p50,hazard,,
29.0,29.5,3517.0,154.0,0.0437873187375604,47.0,0.0372713983735127,0.0504493500641928,low_speed_guard_0p50,hazard,,
30.0,30.5,3362.0,150.0,0.0446162998215348,47.0,0.0374841487801626,0.0513645586600958,low_speed_guard_0p50,hazard,,
31.0,31.5,3211.0,137.0,0.0426658361881033,47.0,0.0342585872169323,0.0511035983274137,low_speed_guard_0p50,hazard,,
32.0,32.5,3074.0,162.0,0.0527000650618087,47.0,0.0466181858418821,0.0597715981766286,low_speed_guard_0p50,hazard,,
33.0,33.5,2912.0,141.0,0.0484203296703296,47.0,0.0413563566249938,0.0561772842090006,low_speed_guard_0p50,hazard,,
34.0,34.5,2770.0,126.0,0.0454873646209386,47.0,0.0388380158049123,0.0524065387510157,low_speed_guard_0p50,hazard,,
0.0,0.5,67501.0,23123.0,0.3425578880312884,47.0,0.3392430139460513,0.346181058889463,rolling_median_3,hazard,,
1.0,1.5,44364.0,11509.0,0.2594220539175908,47.0,0.2553140348402216,0.2632089494825965,rolling_median_3,hazard,,
2.0,2.5,32834.0,5396.0,0.1643418407748066,47.0,0.1596913092059691,0.168953182776918,rolling_median_3,hazard,,
3.0,3.5,27420.0,4158.0,0.1516411378555798,47.0,0.1477595827148674,0.1557001022768718,rolling_median_3,hazard,,
4.0,4.5,23253.0,3379.0,0.1453145830645508,47.0,0.1411731926668972,0.1494488138366535,rolling_median_3,hazard,,
5.0,5.5,19869.0,2620.0,0.1318637072827017,47.0,0.1274620585390889,0.1360325491912514,rolling_median_3,hazard,,
6.0,6.5,17244.0,2278.0,0.1321039202041289,47.0,0.126313240091688,0.137323352034038,rolling_median_3,hazard,,
7.0,7.5,14960.0,1949.0,0.1302807486631016,47.0,0.1243471447781235,0.1368040978947273,rolling_median_3,hazard,,
8.0,8.5,13006.0,1643.0,0.1263263109334153,47.0,0.1202450318454259,0.1320478788220434,rolling_median_3,hazard,,
9.0,9.5,11360.0,1466.0,0.1290492957746478,47.0,0.1217993859873175,0.1352738590591564,rolling_median_3,hazard,,
10.0,10.5,9889.0,1206.0,0.1219536859136414,47.0,0.1159171764348242,0.1279613281229399,rolling_median_3,hazard,,
11.0,11.5,8679.0,1082.0,0.1246687406383223,47.0,0.1175335896790132,0.1315887528770497,rolling_median_3,hazard,,
12.0,12.5,7597.0,900.0,0.1184678162432539,47.0,0.11089356002747,0.1258407504007823,rolling_median_3,hazard,,
13.0,13.5,6695.0,806.0,0.1203883495145631,47.0,0.1117694975715133,0.1287030939314404,rolling_median_3,hazard,,
14.0,14.5,5885.0,678.0,0.1152081563296516,47.0,0.106393688221948,0.1229366659932395,rolling_median_3,hazard,,
15.0,15.5,5204.0,571.0,0.1097232897770945,47.0,0.1018495857111485,0.1182224792571621,rolling_median_3,hazard,,
16.0,16.5,4629.0,518.0,0.1119032188377619,47.0,0.1020030241242065,0.1198406016491828,rolling_median_3,hazard,,
17.0,17.5,4109.0,449.0,0.1092723290338281,47.0,0.1003447184174611,0.1190331965039116,rolling_median_3,hazard,,
18.0,18.5,3660.0,371.0,0.1013661202185792,47.0,0.0904361853644589,0.1105270310647608,rolling_median_3,hazard,,
19.0,19.5,3285.0,356.0,0.1083713850837138,47.0,0.0991312918476216,0.1181989284920579,rolling_median_3,hazard,,
20.0,20.5,2926.0,300.0,0.1025290498974709,47.0,0.0917567727042806,0.1149329090875818,rolling_median_3,hazard,,
21.0,21.5,2625.0,295.0,0.1123809523809523,47.0,0.1022203488456729,0.122788113200881,rolling_median_3,hazard,,
22.0,22.5,2328.0,252.0,0.1082474226804123,47.0,0.0990839883575167,0.1177572316400318,rolling_median_3,hazard,,
23.0,23.5,2075.0,227.0,0.1093975903614457,47.0,0.0971674855739016,0.1221658046363052,rolling_median_3,hazard,,
24.0,24.5,1846.0,238.0,0.1289274106175514,47.0,0.1135194140482743,0.1437079447896547,rolling_median_3,hazard,,
25.0,25.5,1604.0,187.0,0.1165835411471321,47.0,0.1004037448077086,0.1327222902419736,rolling_median_3,hazard,,
26.0,26.5,1416.0,184.0,0.1299435028248587,47.0,0.1140680869785486,0.1472207647800679,rolling_median_3,hazard,,
27.0,27.5,1230.0,156.0,0.1268292682926829,47.0,0.1124635006499927,0.1409037122458573,rolling_median_3,hazard,,
28.0,28.5,1074.0,150.0,0.1396648044692737,47.0,0.1211978401610358,0.1582578039556954,rolling_median_3,hazard,,
29.0,29.5,924.0,115.0,0.1244588744588744,47.0,0.1038614698710106,0.1442026157818404,rolling_median_3,hazard,,
30.0,30.5,808.0,111.0,0.1373762376237624,47.0,0.1140368701021062,0.1627832622229962,rolling_median_3,hazard,,
31.0,31.5,697.0,98.0,0.1406025824964132,47.0,0.1187856846574273,0.1652154252726662,rolling_median_3,hazard,,
32.0,32.5,599.0,76.0,0.1268781302170283,47.0,0.1012352102637206,0.1496748794098174,rolling_median_3,hazard,,
33.0,33.5,522.0,64.0,0.1226053639846743,47.0,0.0949374241059187,0.156095699064449,rolling_median_3,hazard,,
34.0,34.5,458.0,65.0,0.1419213973799126,47.0,0.1135191721002572,0.1749575043461463,rolling_median_3,hazard,,
,,,,,,,,primary_recomputed,ccdf,1.0,1.0
,,,,,,,,primary_recomputed,ccdf,2.0,0.5819174235695252
,,,,,,,,primary_recomputed,ccdf,3.0,0.4693275264319074
,,,,,,,,primary_recomputed,ccdf,4.0,0.3914357754792126
,,,,,,,,primary_recomputed,ccdf,5.0,0.3339589123520816
,,,,,,,,primary_recomputed,ccdf,6.0,0.2877997765107017
,,,,,,,,primary_recomputed,ccdf,7.0,0.2490759577089481
,,,,,,,,primary_recomputed,ccdf,8.0,0.2170711440932924
,,,,,,,,primary_recomputed,ccdf,9.0,0.1886049110340678
,,,,,,,,primary_recomputed,ccdf,10.0,0.1649809461046961
,,,,,,,,primary_recomputed,ccdf,11.0,0.1438210939514627
,,,,,,,,primary_recomputed,ccdf,12.0,0.1259132976132489
,,,,,,,,primary_recomputed,ccdf,13.0,0.1103406779175381
,,,,,,,,primary_recomputed,ccdf,14.0,0.0967307527004956
,,,,,,,,primary_recomputed,ccdf,15.0,0.0855849402595914
,,,,,,,,primary_recomputed,ccdf,16.0,0.0755565743101916
,,,,,,,,primary_recomputed,ccdf,17.0,0.0670324632532019
,,,,,,,,primary_recomputed,ccdf,18.0,0.0594682100799404
,,,,,,,,primary_recomputed,ccdf,19.0,0.0532506231913125
,,,,,,,,primary_recomputed,ccdf,20.0,0.0477350219191427
,,,,,,,,primary_recomputed,ccdf,21.0,0.0422050944099023
,,,,,,,,primary_recomputed,ccdf,22.0,0.0376636772585312
,,,,,,,,primary_recomputed,ccdf,23.0,0.0335233947451362
,,,,,,,,primary_recomputed,ccdf,24.0,0.0297126156843643
,,,,,,,,primary_recomputed,ccdf,25.0,0.0264605598693447
,,,,,,,,primary_recomputed,ccdf,26.0,0.0234233976103836
,,,,,,,,primary_recomputed,ccdf,27.0,0.0206154551445517
,,,,,,,,primary_recomputed,ccdf,28.0,0.0176499240709435
,,,,,,,,primary_recomputed,ccdf,29.0,0.0154436835620755
,,,,,,,,primary_recomputed,ccdf,30.0,0.0135526202687602
,,,,,,,,primary_recomputed,ccdf,31.0,0.0116042520271625
,,,,,,,,primary_recomputed,ccdf,32.0,0.0100283659493997
,,,,,,,,primary_recomputed,ccdf,33.0,0.0086673734276954
,,,,,,,,primary_recomputed,ccdf,34.0,0.007478295750838
,,,,,,,,primary_recomputed,ccdf,35.0,0.0064038279705452
,,,,,,,,primary_recomputed,ccdf,36.0,0.0054582963238875
,,,,,,,,primary_recomputed,ccdf,37.0,0.0047849631815707
,,,,,,,,primary_recomputed,ccdf,38.0,0.0040973038021833
,,,,,,,,primary_recomputed,ccdf,39.0,0.0034526231340076
,,,,,,,,primary_recomputed,ccdf,40.0,0.0028652474141142
,,,,,,,,primary_recomputed,ccdf,41.0,0.0025214177244205
,,,,,,,,primary_recomputed,ccdf,42.0,0.0022062405088679
,,,,,,,,primary_recomputed,ccdf,43.0,0.0019197157674565
,,,,,,,,primary_recomputed,ccdf,44.0,0.0016618435001862
,,,,,,,,primary_recomputed,ccdf,45.0,0.0012893613363513
,,,,,,,,primary_recomputed,ccdf,46.0,0.0010744677802928
,,,,,,,,primary_recomputed,ccdf,47.0,0.0008165955130225
,,,,,,,,primary_recomputed,ccdf,48.0,0.0007163118535285
,,,,,,,,primary_recomputed,ccdf,49.0,0.0006160281940345
,,,,,,,,primary_recomputed,ccdf,50.0,0.0005443970086816
,,,,,,,,primary_recomputed,ccdf,51.0,0.0004727658233288
,,,,,,,,primary_recomputed,ccdf,52.0,0.0004154608750465
,,,,,,,,primary_recomputed,ccdf,53.0,0.0003151772155525
,,,,,,,,primary_recomputed,ccdf,54.0,0.0002578722672702
,,,,,,,,primary_recomputed,ccdf,55.0,0.0001719148448468
,,,,,,,,primary_recomputed,ccdf,56.0,0.0001575886077762
,,,,,,,,primary_recomputed,ccdf,57.0,0.0001575886077762
,,,,,,,,primary_recomputed,ccdf,58.0,0.0001289361336351
,,,,,,,,primary_recomputed,ccdf,59.0,0.0001146098965645
,,,,,,,,primary_recomputed,ccdf,60.0,0.0001002836594939
,,,,,,,,primary_recomputed,ccdf,61.0,7.163118535285522e-05
,,,,,,,,primary_recomputed,ccdf,62.0,7.163118535285522e-05
,,,,,,,,primary_recomputed,ccdf,63.0,4.297871121171313e-05
,,,,,,,,primary_recomputed,ccdf,64.0,0.0
,,,,,,,,primary_recomputed,ccdf,65.0,0.0
,,,,,,,,primary_recomputed,ccdf,66.0,0.0
,,,,,,,,primary_recomputed,ccdf,67.0,0.0
,,,,,,,,primary_recomputed,ccdf,68.0,0.0
,,,,,,,,primary_recomputed,ccdf,69.0,0.0
,,,,,,,,primary_recomputed,ccdf,70.0,0.0
