duration,empirical_survival,age_only_survival,age_order_survival,age_order_boundary_reference_survival,hard_late_survival,smooth_late_survival
20.0,0.0477350219191427,0.0455087551205675,0.046475648782724976,0.050582925951773126,0.046475648781841995,0.046475648781841995
21.0,0.0422050944099023,0.04116355543381757,0.04162424600224448,0.04520452272398882,0.04162424600141204,0.04162424600141204
22.0,0.0376636772585312,0.03728244609998098,0.037306340283745035,0.04043419921081983,0.03730634028296164,0.03730622917473065
23.0,0.0335233947451362,0.03380792589911478,0.03345199664078893,0.036150099430903866,0.033451996640053015,0.033355479513847285
24.0,0.0297126156843643,0.030690982332947297,0.030004068368621104,0.03231722370213014,0.030004068367931038,0.02968057630358082
25.0,0.0264605598693447,0.027889591401745212,0.026914853153424973,0.028877014353095847,0.026914853152779042,0.026292970816763895
26.0,0.0234233976103836,0.025367529602237007,0.0241409878532652,0.025775871948978953,0.0241409878526617,0.023192883732718925
27.0,0.0206154551445517,0.023093423568983522,0.021643079353121812,0.022986726937788454,0.02125023918480766,0.020372195868772595
28.0,0.0176499240709435,0.021039982734837426,0.019408397168433202,0.02049396525537666,0.01836216983450456,0.017838110535695798
29.0,0.0154436835620755,0.019183374473990617,0.01740004450471177,0.01826126733449583,0.015862595371429634,0.015567216285136107
30.0,0.0135526202687602,0.01750271128058013,0.015593520406443972,0.01625583767109583,0.013698014393354895,0.01354234098012944
31.0,0.0116042520271625,0.01597962685747215,0.013955763539069872,0.014438873221420012,0.01181290212627732,0.011735301735946604
32.0,0.0100283659493997,0.014597923368137726,0.01249548363032049,0.012828117848201304,0.01019167653257412,0.010150575574737204
33.0,0.0086673734276954,0.013343276100291984,0.011190654582245248,0.011393422946003864,0.008795035775272676,0.00876374680594442
34.0,0.007478295750838,0.012202984790069723,0.010013309697694765,0.010110000674556103,0.007583144404073529,0.007545596251701469
35.0,0.0064038279705452,0.011165763130352665,0.008961070918044954,0.008961380841060523,0.0065391477498072895,0.006486632416013682
36.0,0.0054582963238875,0.010221559727754657,0.00801293617028974,0.007938587601118643,0.005634332560992841,0.005563218740411238
37.0,0.0047849631815707,0.00936140511661272,0.0071682640439632425,0.007029882551541011,0.004856846147401277,0.004766705296805269
38.0,0.0040973038021833,0.00857728048414684,0.006412665173674417,0.006222421127855342,0.004186667535252432,0.004079103181371816
39.0,0.0034526231340076,0.00786200458108589,0.005728217859050197,0.005498186542213978,0.003603620055778603,0.0034815386349326574
40.0,0.0028652474141142,0.007209135939870068,0.005121258579731639,0.004860694445811713,0.0031044575876483464,0.002971013329200581
41.0,0.0025214177244205,0.00661288803773865,0.004584631284318362,0.004309561060997255,0.0026779532934990105,0.002536305779487925
42.0,0.0022062405088679,0.006068055454393244,0.004103049808759624,0.0038160852624678676,0.0023093775083359237,0.002162742603136081
43.0,0.0019197157674565,0.0055699494060317024,0.0036694207036550063,0.003373769759250932,0.00199010141191777,0.0018414620089909945
44.0,0.0016618435001862,0.005114341306555971,0.003286652109223764,0.0029886265891610996,0.001717595903191725,0.0015692209234824883
45.0,0.0012893613363513,0.0046974132258568845,0.0029394842931046113,0.0026477634876750636,0.001480225770579306,0.0013344214934158552
46.0,0.0010744677802928,0.004315714294463601,0.002629082018605852,0.002343934481714674,0.0012757057411741358,0.0011341482667338123
47.0,0.0008165955130225,0.003966122251444824,0.002349675585610133,0.002070970492597334,0.0010986107331155907,0.0009627047322690464
48.0,0.0007163118535285,0.0036458094544704125,0.0021038889841645952,0.0018356860816734512,0.0009478689807170887,0.0008183223457800688
49.0,0.0006160281940345,0.003352212772272873,0.0018844428259813257,0.0016299583128781023,0.0008180842187923805,0.0006955318499448822
50.0,0.0005443970086816,0.0030830068642586717,0.0016865154637554784,0.0014491664101349724,0.0007054966164987052,0.0005904597604665411
51.0,0.0004727658233288,0.002836080422790264,0.0015076275385281248,0.0012846312131741615,0.000607698588330592,0.0005005058462362089
52.0,0.0004154608750465,0.002609515013156777,0.0013467466637735546,0.001136647813252709,0.000523081827347941,0.00042381815683426965
53.0,0.0003151772155525,0.0024015661964570294,0.001203838540850378,0.001007833061089344,0.00045054847613003904,0.0003590184736042941
54.0,0.0002578722672702,0.002210646663135123,0.001076593708078929,0.0008930573123714098,0.0003882528724206225,0.00030418887257864096
55.0,0.0001719148448468,0.002035311141036424,0.0009595414538305028,0.0007878850905001796,0.00033343880434295,0.0002568010354296524
