x_value,included_in_fit,n_support,y_value,ci_low,ci_high,support_flag
54.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
55.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
56.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
57.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
58.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
59.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
60.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
61.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
62.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
63.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
64.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
65.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
66.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
67.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
68.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
69.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
