bootstrap,model,success,message,q,tc,tau_q,log_likelihood_weighted,tau_at_lower_bound,tau_at_upper_bound
35,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04379400167699412,25.369743575689906,,-158486.10957665526,False,False
35,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.2413963340994257,20.26763847106059,59.999999999999986,-158485.24502187557,False,True
36,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03546916169797054,25.451612013028793,,-159416.9649594866,False,False
36,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.048020810904043976,21.531725296564158,7.290100213136469,-159415.4736539074,False,False
37,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.041996296168702714,25.343663461092618,,-161614.97475791007,False,False
37,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.09537045259586528,19.279087894919293,21.87549180264783,-161609.91656931845,False,False
38,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.038785619438640465,25.84377332895989,,-162793.0467916875,False,False
38,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0889978192427543,20.191964184192408,22.513315000265145,-162794.26366037727,False,False
39,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03967990258388035,25.726241200508927,,-157710.79162655777,False,False
39,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.1771363826757088,17.75966774434707,59.999999999999986,-157703.5768616738,False,True
