heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2020__2020-08-07,S0_raw,full,-161323.12664201937,347445,68294,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.918368964940264,4.7714334214001735,1.3051092003213718,1.0,0.6698691813472827,0.1039160787192807,20.0,4.999999999999999
2020__2020-08-08,S0_raw,age_only,-163297.79870703258,347410,68122,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3320340459721716,2.551899006849817,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-08,S0_raw,age_order,-161543.91525526225,347410,68122,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9152692606750343,4.772750139261694,1.3053404771409345,1.0,0.6695955230149775,0.0,25.0,5.0
2020__2020-08-08,S0_raw,full,-161079.66832097978,347410,68122,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9152692606750343,4.772750139261694,1.3053404771409345,1.0,0.6695955230149775,0.1023777341818747,20.0,4.999999999999999
2020__2020-08-12,S0_raw,age_only,-163596.73249661323,347647,68306,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3334112104782847,2.550754404818196,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-12,S0_raw,age_order,-161857.8040145225,347647,68306,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9118899260719688,4.76089162426756,1.306909620711488,1.0,0.6731082321095668,0.0,25.0,5.0
2020__2020-08-12,S0_raw,full,-161388.6641211081,347647,68306,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9118899260719688,4.76089162426756,1.306909620711488,1.0,0.6731082321095668,0.1031689034039084,20.0,4.999999999999999
2020__2020-08-16,S0_raw,age_only,-161001.2855569845,342006,67251,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3347957089370643,2.5528919266000463,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-16,S0_raw,age_order,-159241.56675160365,342006,67251,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.93028622333355,4.80946252325293,1.306411109175067,1.0,0.6656855706275929,0.0,25.0,5.0
2020__2020-08-16,S0_raw,full,-158784.33036439787,342006,67251,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.93028622333355,4.80946252325293,1.306411109175067,1.0,0.6656855706275929,0.1025219398493994,20.0,4.999999999999999
