threshold_s,estimate,ci_low,ci_high,model_name,quantity,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_estimate
20.0,0.4476246226381274,0.4475021127590767,0.4477560414978425,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4476246226381274
21.0,0.4445203319170177,0.4443948084102069,0.4446602093675468,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4445203319170177
22.0,0.4403942022924584,0.4402613898901833,0.4405400951704374,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4403942022924584
23.0,0.4356490180090734,0.4355098190907982,0.435800069263204,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4356490180090734
24.0,0.4305628375676709,0.4304182431745822,0.4307271557687835,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4305628375676709
25.0,0.4253258143764789,0.4251747766906014,0.4254985578520444,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4253258143764789
26.0,0.4200665408986309,0.4199085526516201,0.4202456108014032,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4200665408986309
27.0,0.4148705915348779,0.4147071005222321,0.4150548887450944,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4148705915348779
28.0,0.409793514804853,0.4096315854481502,0.4099853810111752,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.409793514804853
29.0,0.404869940521843,0.4046992286378875,0.405071294404116,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.404869940521843
30.0,0.4001199779926098,0.3999407344050331,0.4003319471747044,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4001199779926098
31.0,0.3955537217394804,0.3953636924877919,0.3957791183014627,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3955537217394804
32.0,0.3911744297559222,0.3909755357035122,0.3914107629207588,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3911744297559222
33.0,0.3869807663944391,0.3867781923575901,0.3872271839681397,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3869807663944391
34.0,0.382968383456729,0.3827629063968589,0.3832217219360338,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.382968383456729
35.0,0.3791310315128243,0.3789211704914264,0.3793924918711989,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3791310315128243
